Ship type,Technical efficiency,Total fuel consumption [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between diffrenet ports under a MS jurisdiction [m tonnes],CO₂ emissions produced when ships depart from various ports to start their journeys.under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to destination ports under a MS jurisdiction [m tonnes],"CO₂ emissions while ships are in port, either docked or berthed under a MS jurisdiction at berth [m tonnes]",Annual Time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Distance Travelled by Ship(nmiles in thousands)
Container ship,20.25,4918.99,15548.57,1494.69,4771.12,8112.81,1169.95,2319.4,135.14,427.17,36.4
Container ship,21.3,2750.86,8685.5,687.2,4497.58,3175.13,325.61,1755.7,110.09,347.61,24.99
Container ship,22.05,458.28,1444.04,0,1347.75,91.98,4.32,305.2,98.63,310.79,4.65
Container ship,15.09,4371.91,13713.44,8597.69,2382.04,960.42,1773.29,1373.4,215.78,676.85,20.26
Container ship,24.4,6590.5,20523.34,19189.04,59.48,415.1,859.73,6036.1,82.23,256.07,80.15
Container ship,24.41,7027.71,21884.86,19558.23,556.29,357.49,1412.85,6204.9,84.33,262.6,83.34
Chemical tanker,11.23,275.01,861.72,555.85,0,155.7,150.17,298.42,87.33,273.65,3.15
Chemical tanker,11.85,700.79,2206.36,799.36,479.21,530.43,397.37,841.03,75.23,236.84,9.32
Other ship types,29.51,15393.8,47963.3,41802.92,2821.65,1207.82,2130.88,5666.4,170.15,530.15,90.47
Other ship types,29.51,15223.34,47434.28,41052.75,2525.62,1768.93,2087.1,5277.2,182.06,567.27,83.62
Container ship,16,5216.45,16294.66,0,9483.71,6713.03,97.92,1130.5,269.91,843.11,19.33
Container ship,16,5561.98,17363.61,0,8876.89,8408.18,78.55,1259.2,255.34,797.12,21.78
Oil tanker,3.79,4258.15,13445.57,1021.55,5116.77,5626.33,1680.9,2482,192.3,607.21,22.14
Oil tanker,7.02,1879.25,5919.72,194.03,2549.47,2609.1,567.12,1895.48,94.03,296.18,19.99
General cargo ship,13.79,231.37,731.07,30.52,429.04,251.94,19.56,752.83,44.76,141.43,5.17
Other ship types,63.49,7016.46,21881.03,3824.84,7810.54,9731.74,513.93,4174.1,132.22,412.34,53.07
Bulk carrier,3.35,2935.81,9273.28,130.41,4507.28,4031.39,604.2,1402,181.95,574.72,16.14
Bulk carrier,2.5,2478.08,7739.55,0,2441.65,3556.19,1741.7,1015.87,240.76,751.95,10.29
Oil tanker,6.7,2834.36,9086.96,700.83,1584.05,3829.57,2972.51,1730.3,151.64,486.17,18.69
Oil tanker,6.54,1192.3,3822.51,0,3379.12,335.99,107.4,902.22,122.83,393.79,9.71
Oil tanker,5.84,4004.2,12623.88,654,4712,6616,641,2660,144.64,455.99,27.68
Bulk carrier,3.03,1194.02,3728.78,0,1558.07,1941.48,229.22,611.97,157.48,491.79,7.58
Bulk carrier,3.13,1358.14,4243.56,0,603.77,3542.81,96.98,662,178.3,557.12,7.62
Bulk carrier,5.9,1816.76,5750.81,1572.88,1607.08,2117.43,453.41,1930.83,94,297.55,19.33
Bulk carrier,6.09,1934.5,6095.78,355.22,1923.61,3382.6,434.36,2084.95,92.26,290.73,20.97
Bulk carrier,6.04,2205.94,6949.36,475.83,4733.16,1376.63,363.75,2242.92,93.38,294.16,23.62
Bulk carrier,5.74,2467.98,7772.61,1030.98,1684.36,4455.17,602.11,2495.5,92.92,292.64,26.56
Oil tanker,4.16,1825.7,5771.73,0,2755.05,2742.28,274.39,1202.8,125.32,396.17,14.57
Oil tanker,NA,1137,3590.1,0,3538.16,0,51.94,788.1,124.7,393.74,9.12
Oil tanker,4.37,1337.2,4233.26,0,2358.49,1464.39,410.37,1222.7,132.57,419.67,10.09
General cargo ship,12.97,2495.46,7893.56,876.35,3675.31,2951.23,390.67,3026.9,67.37,213.1,37.04
Other ship types,12,2355.92,7433.32,1252.81,3288.16,2414.04,478.32,3053.26,65.03,205.18,36.23
Container ship,22.22,2844.49,8963.07,0,1557.58,7040.11,365.39,1733,121.41,382.56,23.43
Chemical tanker,8.34,2382.12,7488.52,1157.58,2696.33,3023.89,610.72,3512.33,76.76,241.32,31.03
Oil tanker,9,847.81,2657.87,0,946.21,1552.23,159.44,468.3,117.15,367.26,7.24
Gas carrier,6.18,3949.4,12383.89,572.91,5009.06,6398.92,402.99,2375.28,122.12,382.93,32.34
General cargo ship,20.04,1387.12,4383.1,771.56,1362.12,2125.64,123.78,2003.1,85.68,270.74,16.19
Chemical tanker,15.79,749.3,2374.04,631.65,740.49,904.32,97.59,1396.33,53.18,168.49,14.09
Container ship,30.83,3194.74,10201.82,7238.39,767.99,898.31,1297.14,3753.93,92.85,296.49,34.41
Container ship,35.27,5246.17,16819.22,15368.86,88.29,109.81,1252.26,4197.6,91.56,293.54,57.3
Container ship,31.11,2169.54,6813.89,1352.97,2522.99,2565.09,372.84,2101.6,84.73,266.1,25.61
Container ship,36.44,2709.25,8574.78,4097.26,2349.62,1245.97,881.94,2429.31,90.84,287.51,29.82
Container ship,31.07,4940.91,15465.56,4925.1,4118.88,5749.35,672.23,4511.8,86.67,271.29,57.01
General cargo ship,20.05,789.1,2495.01,243.4,957.9,1132.7,161,984,61.9,195.7,12.75
General cargo ship,20.05,1438.6,4539.32,824.1,2165.6,1474.1,75.3,2219,51.08,161.18,28.16
General cargo ship,20.05,1143.3,3611.33,494.9,2347.1,588.1,181.4,1497,61.91,195.57,18.47
General cargo ship,20.05,1362.1,4303.9,491.9,2365.2,1324.8,122.2,1721,60.03,189.67,22.69
Bulk carrier,5.8,843.4,2646.5,114.13,940.48,1556.26,35.62,885.5,89.16,279.79,9.46
Bulk carrier,5.58,539.59,1712.28,0,732.29,929.72,50.27,551.82,5.27,16.71,102.39
Container ship,27.54,4402,13751.67,1885.49,5432.83,6159.07,274.27,3440,104.18,325.47,42.25
Container ship,25.55,2532.5,7990.18,893.19,3210.85,3503.43,382.71,2993.7,83.84,264.51,30.21
Container ship,17.63,253.9,0,0,0,0,0,82.17,171.25,0,1.48
Container ship,20.04,5018.56,15730.09,4912.64,9533.53,906.56,377.35,2044.66,178.15,558.38,28.17
Container ship,19.56,240.87,750.63,0,682.33,58.68,9.62,149.56,123.48,384.8,1.95
General cargo ship,21.54,736.1,2359.94,0,1115.37,1244.57,0,490,106.16,340.34,6.93
Chemical tanker,8.76,2151.37,6897.29,76.94,1674.49,2208.77,2937.08,2141.8,82.23,263.63,26.16
Oil tanker,12.66,2457.99,7824.99,3254.18,1561.86,1644.74,1364.19,3215.5,79.45,252.93,30.94
Oil tanker,3.74,3326.65,10458.57,0,3993.77,5467.66,997.16,1952,175.25,550.97,18.98
Ro-pax ship,34.12,9858.98,30716.88,26886.3,0,0,3830.57,3514.12,149.44,465.61,65.97
Container ship,22.86,3513.27,11062.99,1551.86,5101.24,4061.81,348.06,3209.11,99.99,314.85,35.14
Container ship,22.85,5439.6,17038.99,6029.35,5531.21,4592.24,886.2,3710.96,127.63,399.77,42.62
Container ship,15.56,12350.04,38467.6,0,16810.73,21351.82,305.05,3537.72,212.5,661.89,58.12
Container ship,15.56,351.5,1094.57,0,1094.58,0,0,126.1,188.99,588.53,1.86
Container ship,17.2,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Container ship,17.2,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Container ship,17.2,8592,27102.43,2132,13968,10262,737,3385,164.35,518.43,52.28
Container/ro-ro cargo ship,13.25,6722.84,21204.31,20307.17,0,0,897.14,5653.8,94,296.49,71.52
Container/ro-ro cargo ship,13.25,7820,24661.6,21768.51,880.85,1145.62,866.63,5647.2,97.29,306.81,80.38
Container ship,29.42,3072.8,9587.85,1240.63,3747.98,4427.08,172.16,2642.4,98.38,306.96,31.23
Container ship,31.59,4004.4,12676.82,3290.1,4318.1,4525.1,543.4,5236,64.24,203.36,62.33
Container ship,31.59,3697.33,11568.34,9542.49,436.1,476.76,1063.21,3951.48,76.56,239.54,48.29
General cargo ship,17.2,2831.12,8942.03,2483.87,3932.91,2201.11,324.12,5173.79,52.43,165.59,54
General cargo ship,13.51,1845.81,5808.29,880.04,2307.49,2504.75,116.03,3624.69,48.78,153.49,37.84
Other ship types,16.11,1287.45,4077.68,1002.1,1437.3,1415.75,222.53,2703.93,48.77,154.46,26.4
General cargo ship,15.07,2604.12,8225.77,2115.79,2973.6,2841.4,294.97,5287.59,48.54,153.32,53.65
Container ship,18.4,2859.81,9000.84,884.95,7411.92,207.59,496.39,1054,207.23,652.22,13.8
Container ship,NA,11528.87,36232.4,3146.56,6009.67,25165,1911.17,2982.5,231.54,727.68,49.79
Container ship,NA,12153.51,38121.42,3564.56,6042.86,26735.05,1778.95,2937.7,243.7,764.4,49.87
Container ship,NA,10957.63,34471.65,3618.12,3159.07,26183.1,1511.36,2664.2,240.37,756.19,45.59
Container ship,18.3,9703.51,30459.54,4535.62,14391.62,10432.86,1099.43,2718.7,226.31,710.4,42.88
Container ship,18.31,11585.16,36452.67,20668.29,7516.6,6382.65,1885.13,4176.1,198.17,623.55,58.46
Container ship,NA,12104.66,38054.11,3434.36,5544.1,27391.35,1684.3,3140.8,241.43,759.01,50.14
Container ship,NA,15514.59,48675.61,2975.7,16258.35,27900.25,1541.3,3449.4,251.99,790.59,61.57
Container ship,19.5,8924.28,27873.22,12687.3,4799.03,8413.23,1973.65,4005.3,199.73,623.8,44.68
Oil tanker,7.29,1647.15,5210.22,364.74,1927.12,2580.77,337.59,1262.1,101.54,321.18,16.22
Chemical tanker,8.61,700.89,2189.02,0,617.74,1513.19,58.09,996,57.3,178.95,12.23
Ro-pax ship,20.14,15782.88,49283.08,46583.09,0,0,2700,5682.57,152.19,475.22,103.71
Ro-pax ship,19.32,20601.6,65259,64003.61,184.35,0,1071.04,6168.43,171.27,542.52,120.29
Ro-pax ship,20.04,14407.56,45029.59,41625.97,0,0,3403.61,4572.4,175.02,547.01,82.32
Container ship,18.44,3099.04,9785.46,1110.34,4084.6,4379.59,210.92,713,258.33,815.68,12
Container ship,19.94,14511.35,45802.4,9636.49,24418.3,10102.18,1645.44,5885.9,179.63,566.98,80.78
Container ship,19.94,8738.77,27574.01,11473.58,3748.11,10889.65,1462.67,3465.9,191.55,604.43,45.62
Ro-pax ship,22.26,27794.31,86988.15,84944.43,0,0,2043.68,6420,233.54,730.93,119.01
Bulk carrier,12.2,308.3,974.82,180.57,222.37,517.79,54.08,1072.55,33.31,105.33,9.26
Bulk carrier,12.68,888.58,2844.39,1222.75,593.86,900.99,126.76,3091.93,30.64,98.09,29
Bulk carrier,14.37,789.44,2474.13,738.84,1025.11,593.9,116.25,3035.3,28.15,88.24,28.04
General cargo ship,13.34,918.9,2946,1088.1,575.14,1204.16,78.55,3702.93,25.29,81.09,36.33
Container ship,32.63,13969.26,44244.56,3070.39,18903.24,19939.21,2331.72,3602.3,216.08,684.39,64.65
Container ship,35.69,14483.6,45882.06,4225.83,18716.54,21091.72,1847.97,4188.38,221.45,701.53,65.4
Container ship,31.93,1882.36,5869.19,0,2502.12,3341.74,25.33,557.65,222,692.2,8.48
Bulk carrier,5.43,1623.73,5088.58,330,836,3864,58,1418,104.84,328.57,15.49
Bulk carrier,7.02,1049.08,3324.54,897.88,676.6,1492.2,257.85,1326.4,83.21,263.71,12.61
Container ship,19.1,8305.78,26298.87,7096.56,10543.26,7194.29,1464.76,3343.88,188.65,597.34,44.03
General cargo ship,11.9,680,2134.36,181.75,1056.57,818.98,77.06,2117.79,36.37,114.15,18.7
Gas carrier,6.49,876.12,2773.08,783.59,253.02,1511.73,224.72,424.35,137.97,436.7,6.35
Chemical tanker,8.45,1206,3756,0,1902.35,1706.25,147.38,998.2,93.3,290.58,12.93
Ro-ro ship,18.58,5618.03,17531.76,320.52,8004.66,8026.22,1180.36,3811.8,108.39,338.26,51.83
Ro-ro ship,18.58,7049.74,21986.65,0,9463.09,11810.73,712.82,5186.5,95.99,299.37,73.44
Ro-pax ship,16.86,18687.44,58343.68,57110.96,0,0,1232.71,6794.42,140.91,439.94,132.62
Ro-pax ship,38.9,14739.2,46004.85,40933.7,0,0,5070.6,4058,179.91,561.54,81.93
Ro-pax ship,18.29,19444.94,60625.28,57923.82,0,0,2701.46,5410.28,175.65,547.63,110.7
Ro-pax ship,27.14,18475,57682.48,56014.28,0,0,1668.21,6638.7,139.41,435.26,132.52
Chemical tanker,7.62,2098.01,6726.22,2717.15,1603.48,1528.62,876.97,2623.36,74.54,238.96,28.15
Chemical tanker,14.92,2347.5,7526.08,3473.64,963.5,619.37,2469.58,2412.6,91.01,291.78,25.79
General cargo ship,17.92,1899.87,6090.98,4295.29,833.88,533.03,428.77,4327.62,43.99,141.03,43.19
General cargo ship,21.65,1676.02,5373.33,3969.18,529.66,463.75,410.73,3778.31,42.88,137.48,39.09
Gas carrier,32.72,2826.04,9060.28,7797.86,208.84,353.4,700.19,5849.59,58,185.94,48.72
Gas carrier,32.72,2359.18,7563.53,6396.93,124.2,371.22,671.18,5621.32,54.7,175.36,43.13
Other ship types,27.19,791.29,2468.14,0,2118.66,344.49,4.99,421.7,103.91,324.12,7.62
Container ship,47.68,1488.75,4700.88,1899.31,1438.64,1225.53,137.4,2451.19,64.89,204.91,22.94
General cargo ship,16.2,1612.55,5111.18,1870.49,1479.69,1536.6,224.41,3489.26,40.92,129.69,39.41
Oil tanker,11.93,57.65,184.83,0,89.77,86.08,8.98,102.1,53.58,171.78,1.08
Container ship,23.84,2017.9,6329.95,1887.06,2090.51,2126.95,225.44,1439.1,112.59,353.19,17.92
Other ship types,18.8,949.44,2974.43,871.7,968.66,947.48,186.59,1104.52,68.65,215.07,13.83
Oil tanker,4.96,1111.8,3514.69,0,1814.12,1507.26,193.31,963.1,122.1,385.98,9.11
Oil tanker,4.96,2324.8,7280.55,1.92,1532.58,5201.99,544.06,1560.3,134.35,420.74,17.3
Oil tanker,4.86,3991.42,12498,3684.55,5237.94,3097.85,477.66,2531.7,129.83,406.53,30.74
Oil tanker,4.96,1573.6,4970.73,589.63,1447.19,2724.88,209.03,1097,127.48,402.68,12.34
Ro-pax ship,19.21,38600.5,120284.61,117543.5,0,0,2741.1,5879.5,304.85,949.94,126.62
Ro-pax ship,19.21,38840.1,121039.68,117846.78,0,0,3192.82,5835.53,307.27,957.55,126.4
Ro-pax ship,19.21,23943.6,74821.98,70407.32,0,0,4414.66,5506.72,236.41,738.77,101.28
Ro-pax ship,19.21,24395.6,76204.65,71471.62,0,0,4733.02,5512.08,232.12,725.08,105.1
Oil tanker,8.95,4377.6,13881.55,3935.6,3957,4593,1392,4131.4,96.08,304.67,45.56
Chemical tanker,10.8,2274.5,7131.33,498.5,3296.56,2169.78,1166.49,2182.41,83.93,263.16,27.1
Chemical tanker,10.8,1047.7,3277.95,148.76,1895.85,1006.36,226.98,1128.99,77.22,241.61,13.57
Oil tanker,14.48,2790.28,8930.63,3299.26,2206.96,2176.15,1248.26,4056.68,67.49,216.03,41.34
Container ship,18.59,14493.14,45174.85,4781.62,18952.76,19840.68,1599.78,5874.8,178.59,556.68,81.15
Container ship,21.64,14898.68,47080.05,21794.69,10918.59,12408.14,1958.65,5802.5,189.98,600.33,78.42
Container ship,21.64,15051.71,46986.88,8504.46,16649.74,18889.57,2943.1,4882.87,213.87,667.65,70.38
Oil tanker,8.02,1940.2,6187.02,188.83,3510.55,1913.02,574.61,1594.6,102.58,327.1,18.91
Chemical tanker,10.05,262.5,821.1,0,820.78,0,0.31,470.5,49.61,155.19,5.29
Chemical tanker,7.96,3222.3,10088.91,1404.2,4028.77,3305.44,1350.5,2132.87,138.57,433.86,23.25
Chemical tanker,7.96,4839.9,15131.73,441.01,5389.73,7500.93,1800.05,3360.82,125.7,393,38.5
Oil tanker,8.24,4060,12892.61,2898,3839,5018,1135,6791,113.36,359.99,35.82
Oil tanker,8.46,4491,14206.34,969,6632,6055,551,5912,104.89,331.8,42.82
Oil tanker,8.47,3885.5,12253.95,836,6352,4595,472,4492,105.05,331.31,36.99
Chemical tanker,10.46,1195.39,3755.62,290.14,762.68,2461.41,241.39,1447.07,67.04,210.62,17.83
LNG carrier,7.17,4316.32,12407.37,0,8037.27,3891.7,478.4,1430.27,271.69,780.98,15.89
General cargo ship,15.03,790.2,2533.38,337.27,1160.41,973.34,62.36,3087.87,34.72,111.32,22.76
General cargo ship,17.13,81.65,261.77,95.22,79.19,73.74,13.63,342.08,26.99,86.54,3.03
Chemical tanker,8.3,2412.49,7609.61,2520.72,2848.58,1375.78,864.53,2670.7,102.12,322.12,23.62
Chemical tanker,8.34,4634.2,14757.43,2894.74,3804.79,6438.07,1619.82,4691.5,83.09,264.6,55.77
Chemical tanker,8.34,1852.87,5837.37,2781.3,363.51,2007.18,685.37,1292,125.49,395.37,14.77
Chemical tanker,8.34,3898.39,12460.54,948.85,4910.16,5502.16,1099.37,4357.6,75.36,240.88,51.73
Chemical tanker,8.34,2300.57,7280.08,580.67,3319.54,2786.23,593.64,2768.98,98.14,310.56,23.44
Chemical tanker,8.35,2229.98,7066.18,3386.85,1598.8,1207.4,873.11,2132.1,92.64,293.54,24.07
Chemical tanker,8.34,2324.47,7307.85,1566.72,2339.98,2936.97,464.21,2086,105.24,330.86,22.09
Container ship,NA,8057.79,25166.15,618.44,13278.93,10846.87,421.86,2612.4,184.47,576.13,43.68
Bulk carrier,3.13,7914.16,24676.3,1678.03,5313.85,7209.33,10475.07,2417.75,299.62,934.21,26.41
Bulk carrier,6,1092.64,3457.5,87.46,1725.7,1473.59,170.75,1022.2,94.56,299.24,11.55
Container ship,28.59,4671.39,14724.83,14489.16,0,0,235.68,5879.66,69.04,217.62,67.66
Container ship,39.08,3260.21,10337.05,7388,251.4,2173.2,524.2,3818.1,73.91,234.35,44.11
Oil tanker,2.52,1816.32,5684.88,0,2389.65,2814.63,480.58,878.8,217.93,682.11,8.33
Bulk carrier,9.26,1179.7,3727.21,578,1233,1615,301,1774.6,56.65,178.99,20.82
Bulk carrier,9.21,456.1,1429.49,272.61,256.43,828.31,72.14,1202.5,41.96,131.52,10.87
Bulk carrier,8.66,527.46,1657.1,0,696.13,947.64,13.34,856.62,56.71,178.16,9.3
Bulk carrier,4.41,1972.1,6162.82,0,5520,540,103,767,278.19,869.35,7.09
Oil tanker,4.91,5798,18469.25,187.3,6841.5,10121.25,1319.24,4739.73,111.66,355.68,51.93
General cargo ship,10.75,421.01,1333.55,656.46,81.19,523.18,72.71,763.4,50.24,159.13,8.38
General cargo ship,11.2,671.61,2095.28,193.41,1833.66,55.98,12.25,1186.1,55.83,174.17,12.03
Ro-pax ship,2.55,19914.09,63844.57,61089.47,0,0,2755.11,7712,184.54,591.65,107.91
Oil tanker,4.65,1829.59,5768.73,0,2426.24,2394.6,947.89,1312,128.96,406.62,14.19
Container ship,28.17,4474.5,13976.88,11919.07,158.66,822.63,1076.52,4425.42,82.12,256.51,54.49
Container ship,28.14,4755.9,14848.36,10190.24,1532.46,2349.32,776.33,4870.95,77.99,243.5,60.98
Container ship,32.26,448.62,1400.3,361.52,420.92,539.9,77.96,614.2,68.28,213.14,6.57
Container ship,23,3772.86,11911.91,10570.22,0,0,1341.7,4409.48,73.87,233.24,51.07
Container ship,26.74,5737.18,18093.53,13889.46,2235.17,1321.64,647.27,5943.8,78,245.98,73.55
Container ship,23.3,3806.74,11986.5,8852.42,997.83,1283.72,852.54,4684.5,74.38,234.19,51.18
Container ship,27.9,2335.73,7290.27,640.69,2390.68,4038.33,220.57,3192.53,69.53,217.03,33.59
Container ship,27.84,3629.5,11486.91,9364,523.3,403.3,1196.1,4038,71.58,226.54,50.71
Container ship,24.88,4479.02,13997.56,3859.26,4390.58,5108.98,638.74,4380.05,70.64,220.76,63.41
Container ship,26.74,4289.8,13565.77,8213.49,2484.91,2470.61,396.76,4492.39,78.23,247.38,54.84
Container ship,29.5,6089.5,19006.54,12904.5,2130.4,3587.9,383.4,6024,74.71,233.18,81.51
Container ship,28.22,5901.5,18713.34,7317.2,7860.3,2920.5,615.4,5184,80.15,254.15,73.63
Container ship,27.87,4204.49,13109.82,1661.23,5686.63,5525.2,236.76,4610.6,70.81,220.78,59.38
Container ship,32.3,2798.84,8907.12,1308.33,3075.64,3318.16,1205,2815.98,76.72,244.15,36.48
Container ship,29.8,3644,11647.85,8222,1626,1216,560,4497,71.5,228.54,50.97
Container ship,23.21,3726.8,11795.04,7853.2,1553.2,923.8,1464.8,3903,83.09,262.99,44.85
Chemical tanker,15.48,2240.1,7057.18,5230.04,574.88,455.46,796.79,4348.18,51.31,161.66,43.66
Container ship,29.8,4580.4,14439.27,9568.63,2039.35,1893.03,938.27,4405.32,92.14,290.45,49.71
Bulk carrier,6.89,306.34,975.06,151.87,528.21,255.69,39.31,376.5,84.48,268.91,3.63
Bulk carrier,6.9,846.19,2674.53,118.3,1301.23,1198.16,56.84,893.13,76.23,240.95,11.1
Bulk carrier,6.37,852.42,2679.8,80.83,987.77,1548.99,62.2,1241.83,68.61,215.7,12.42
Chemical tanker,5.83,2663.3,8426.9,899.61,2671.49,4375.5,480.29,2099.6,110.07,348.28,24.2
General cargo ship,11.81,1585.75,4958.54,74.86,1610.41,3100.59,172.68,3576.87,46.57,145.62,34.05
Bulk carrier,3.02,691.39,2161.41,0,945.43,903.2,312.79,361.75,179.68,561.7,3.85
Vehicle carrier,17.99,1480.8,4684.05,416.66,3387.56,718.65,161.17,887,118.2,373.89,12.53
Vehicle carrier,16.21,1630.5,5157.4,1429.73,2780.53,640.03,307.13,1085.3,102.99,325.76,15.83
Vehicle carrier,16.22,2724.9,8625.3,361.64,6252,1489.4,522.26,1791.97,104.14,329.64,26.17
Vehicle carrier,25.93,1991.42,6296.69,1673.69,4249.31,107.63,266.06,1072.66,121.48,384.12,16.39
Vehicle carrier,26.6,2841.2,8974.21,1535.5,3193.64,3913.26,331.81,1832.95,106.6,336.72,26.65
Vehicle carrier,26.64,3420.61,10798.51,231.67,5562.43,4713.89,290.54,2010.88,105.38,332.68,32.46
Container ship,19.34,760.6,2400.2,182.47,0,2031.15,186.59,431.9,125.8,396.99,6.05
Container ship,19.27,10342.29,20016.79,1263.37,8442.19,9954.62,356.58,4196.36,171.15,331.25,60.43
Container ship,19.27,10891.41,24079.31,1856.38,11603.42,10125.08,494.42,4403.35,169.4,374.52,64.29
Container ship,19.89,8816.82,27856.44,1479.44,13701.2,12236.68,439.12,3724.4,151.97,480.15,58.02
Container ship,29.61,6172.9,19468.24,4498,7355.1,7535.8,79.4,6575,65.34,206.08,94.47
Container ship,29.61,946.1,2993.09,233.3,747.3,1113.2,899.3,749,102.59,324.56,9.22
Container ship,38.42,1979.4,6345.96,1098.4,1505.5,2723.5,1018.6,1979,84.93,272.3,23.31
Container ship,38.42,4190,13289.58,2833.6,5303.3,4775.8,376.8,4751,72.72,230.65,57.62
Container ship,29.33,6540.5,20630.11,4135,6879.6,9509.9,105.6,6051,71.64,225.95,91.3
Bulk carrier,4.13,806.14,2515.36,0,1320.9,1059.86,128.69,757.85,98.03,305.89,8.22
Bulk carrier,4.95,989.48,3105.13,355.33,577.32,2022.51,149.96,1163.2,86.96,272.88,11.38
General cargo ship,6,511.8,1610.89,0,312.03,1281.62,17.25,512.9,83.29,262.15,6.14
General cargo ship,5.63,2173.25,6808.66,841.14,2124.5,3633.04,209.98,2054.1,96.27,301.61,22.57
Container ship,16.65,7847.18,24499.14,0,13717.66,10694.54,86.93,1789.73,255.25,796.9,30.74
Container ship,16.64,5714.9,17833.5,0,7710.63,10034.39,88.49,1138.8,291.11,908.43,19.63
LNG carrier,7.19,3190.87,9273.63,0,4396.34,4688.09,189.19,833.3,231.84,673.81,13.76
Passenger ship,13.24,26422.13,82966.58,63585.65,7387.11,4867.96,7125.86,3948.59,426.65,1339.71,61.93
Container ship,18.68,3583.67,11417.69,9212.9,590.01,0,1614.78,2403.14,143.51,457.24,24.97
Container ship,18.38,2319.27,7247.84,2873.51,3416.42,330.58,627.33,1974.67,113.73,355.4,20.39
Container ship,18.38,4766.29,14903.17,7570.71,1450.47,4671.63,1210.31,5822.43,108.26,338.49,44.03
Container ship,18.38,1591.96,4971.47,0,1189.84,3463.91,317.71,2342.85,107.35,335.23,14.83
Container ship,18.38,5819.61,18159.38,7859.27,2645.18,6655.96,998.93,4952.66,109.56,341.87,53.12
Container ship,18.38,6571.79,20486.78,2005.35,10458.83,7520.95,501.64,5419.83,111.65,348.06,58.86
Container ship,18.38,2526.82,7890.38,3424.9,3625.19,274.97,565.37,2095.39,122.2,381.58,20.68
Oil tanker,8.6,2415.44,7614.72,1532.46,1680.7,3130.57,1270.99,2340.2,91.83,289.51,26.3
General cargo ship,15,206.68,645.17,61.12,53.6,504.97,25.49,469.59,41.92,130.87,4.93
General cargo ship,14.42,978.1,3063.42,356.03,1596.51,1039.4,71.49,2397.27,37.95,118.86,25.77
Oil tanker,3.65,6753.73,21163.99,236.05,8080.45,10923.77,1923.71,2851.4,198.87,623.18,33.96
Oil tanker,13.6,3617.73,11598.44,9183.36,332.33,142.54,1940.21,4699.6,70.89,227.28,51.03
Chemical tanker,16.64,557.36,1786.9,1403.27,73.42,113.81,196.4,1110.9,56.02,179.6,9.95
Container ship,26.18,3410.55,10645.33,5307.05,1777.47,2344.6,1216.21,3803.76,80.71,251.91,42.26
Container ship,31.41,4264.03,13314.54,5265.36,3726.15,3740.69,582.35,5230.3,90.26,281.85,47.24
Container ship,31.5,4073.07,12710.15,1328.59,5886.85,5095.63,399.05,5209.7,74.39,232.15,54.75
Ro-ro ship,13.58,11526.86,35910.58,66.66,17573.77,17881.91,388.25,5731,114.43,356.5,100.73
Ro-ro ship,10.4,14571.61,45387.06,174.7,22822.66,22023.06,366.64,6867.73,122.52,381.61,118.93
Oil tanker,6.22,226.8,718.57,0,258.99,227.82,231.76,131.2,120.9,383.03,1.88
Container ship,17,171.8,541.34,0,433.58,98.31,9.45,134.7,107.97,340.21,1.59
Container ship,21.6,1010.96,3149.97,0,1826.04,1312.55,11.38,1028.4,90.08,280.68,11.22
Container ship,20.7,5091.92,16133.33,5256.55,4827.63,5399.16,649.99,2715.02,165.19,523.39,30.82
General cargo ship,13.4,586.61,1857.85,860.57,178.89,754.58,63.8,1895.38,81.63,258.53,7.19
General cargo ship,13.4,1730.5,5418.23,441.16,2039.23,2812.55,125.29,2500.03,57.2,179.09,30.25
General cargo ship,13.4,926.11,2901,450.15,1802.27,513.29,135.29,1378.42,66.68,208.86,13.89
Vehicle carrier,18.55,1528.6,4825.03,884.21,2933.27,792.69,214.87,752.66,122.1,385.42,12.52
Vehicle carrier,18.56,3104.6,9802.05,1625.46,5274.95,2679.13,222.5,2061.21,132.74,419.11,23.39
Vehicle carrier,17.45,2574.8,8139.81,1768.5,2254.12,3489.16,628.02,1627.7,107.85,340.96,23.87
Vehicle carrier,18.55,2763.1,8740.8,1466.15,2825.49,4056.16,393,1823.69,105.15,332.64,26.28
Container ship,24.53,2571.37,8103.04,58.26,3290.19,4385.11,369.47,1808.7,106.12,334.4,24.23
Oil tanker,8.61,3408.52,10704.39,3099.83,3211.6,3190.4,1202.55,3929.52,83.88,263.42,40.64
Oil tanker,8.62,2405.73,7576.18,2453.41,1586.65,2515.4,1020.71,2578.14,90.15,283.89,26.69
Ro-ro ship,14.71,13739.7,42905.38,40448.75,68.29,97.52,2290.79,5598.78,146.11,456.26,94.04
Ro-ro ship,14.74,13677.58,42724.88,39888.96,168.62,221.37,2445.96,5589.48,145.96,455.93,93.71
Container ship,24.75,5522.87,17251.89,11921.81,1478.3,1557.61,2294.17,3457.18,122.93,383.98,44.93
Container ship,16.79,3797.65,11933.38,4349.96,2259.75,4277.42,1046.26,3163.6,97.25,305.6,39.05
