Ship type,Technical efficiency,Total fuel consumption [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between diffrenet ports under a MS jurisdiction [m tonnes],CO₂ emissions produced when ships depart from various ports to start their journeys.under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to destination ports under a MS jurisdiction [m tonnes],"CO₂ emissions while ships are in port, either docked or berthed under a MS jurisdiction at berth [m tonnes]",Annual Time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Distance Travelled by Ship(nmiles in thousands)
Refrigerated cargo carrier,20.78,1870.3,5863.43,29.2,3939.8,1571,323.4,1786.2,67.86,212.75,27.56
Refrigerated cargo carrier,20.79,2308.1,7235.7,0,3328.4,3576.7,330.5,2560.6,57.46,180.13,40.17
Ro-pax ship,33.99,7280.41,22757.37,20245.48,0,0,2511.87,4087.87,118.67,370.94,61.35
Ro-ro ship,22.86,3203.91,10045.33,9094.22,80.32,181.91,688.9,5068.8,53.78,168.63,59.57
Ro-ro ship,17,2549.91,7998.68,7252.88,0,0,745.8,4627.1,47.31,148.39,53.9
Refrigerated cargo carrier,25.58,1328.3,4167.46,436.61,898.98,2533.8,298.08,1505.97,61.1,191.71,21.74
Refrigerated cargo carrier,25.62,1597.8,5013.95,185.16,2524.52,1791.94,512.32,1815.2,62.2,195.19,25.69
Refrigerated cargo carrier,29.66,1843.1,5772.92,357.28,2104.88,2985.68,325.08,1943.7,74.46,233.23,24.75
Refrigerated cargo carrier,36.29,1712.55,5381.06,500.2,2037.37,2352.03,491.45,1822.5,66.09,207.65,25.91
Bulk carrier,5,7255.84,22680.84,9952.3,4617.31,5192.62,2918.6,5033.8,141.39,441.97,51.32
Bulk carrier,6,4081.8,12849.24,578.42,5722.31,5355.53,1192.98,2712.2,134.67,423.93,30.31
Ro-ro ship,35.42,1245.64,3937.36,3032.67,26.47,2.53,875.68,1883.28,54.83,173.33,22.72
Ro-ro ship,31.83,2085.59,6552.25,5404.86,89.83,507.8,549.75,3767,46.81,147.05,44.55
Passenger ship,NA,9534.9,30568.89,18450.39,6012.82,4630.78,1474.9,5951.6,141.57,453.87,67.35
Bulk carrier,13.01,192.75,612.91,0,466.44,130.08,16.41,483.26,47.83,152.1,4.03
Container ship,16.21,10919.95,34126.99,4070.49,14171.82,14705.48,1179.2,5219.02,141.97,443.68,76.92
Container ship,15.8,9307.13,29396.25,13098.52,9935.28,4757.01,1605.45,4819.6,140.14,442.62,66.41
Container ship,16.59,5090.93,16093.15,3107.4,5270.91,6705.71,1009.14,3167.2,129.86,410.52,39.2
General cargo ship,12.41,62.5,198.93,55,132,0,13,0,53.79,171.2,1.16
General cargo ship,13.7,757.1,2395.91,0,1125.16,1171.37,99.39,2080.05,52.34,165.62,14.47
General cargo ship,17.08,519.81,1660.19,179.22,841.76,589.06,50.15,1578.38,42,134.14,12.38
Ro-pax ship,25.82,7223.09,22643.63,21417.3,0,0,1226.33,3977.34,104.5,327.59,69.12
Ro-pax ship,39.55,3956.92,12535.87,9626.37,698.43,663.75,1547.32,3512.01,86.31,273.44,45.85
Ro-pax ship,17,12984.8,41629.27,38700,0,0,2960,5633,147.22,471.99,88.2
Ro-pax ship,26.21,15848.84,49669.36,44813.51,0,0,4855.85,6336.93,155.25,486.54,102.09
Container ship,14.53,4546.61,14480.89,703.86,5869.36,6082,1825.68,2587.2,136.09,433.45,33.41
Container ship,22.6,3233.98,10205.66,1181.73,4424.62,4266.85,332.46,5177.44,51.53,162.62,62.76
Ro-ro ship,20.47,751.52,2409.37,20.83,888.7,1366.07,133.75,1301.44,57.49,184.32,13.07
Container ship,26.4,472.68,1493.78,0,871.52,597.84,24.43,797.88,95.31,301.2,4.96
General cargo ship,16.61,578.78,1820.91,0,705.08,673.82,442.01,1272.6,52.87,166.34,10.95
General cargo ship,23.35,597.7,1894.51,247.48,690.43,816.5,140.1,1616.68,49.83,157.95,11.99
Container ship,16.21,9132.11,29162.02,10452.73,11407.46,5861.5,1440.33,4691.5,144.02,459.91,63.41
Container ship,16.04,10047.97,31716.66,4274.59,12683.54,13770.76,987.76,5412.4,137.92,435.34,72.85
Container ship,16.21,6721.16,21229.78,1884.27,7645.65,10652.35,1047.51,3736.2,134.53,424.93,49.96
Container ship,15.86,10534.4,33270,15449.79,11189.37,4723.14,1907.72,4887.7,153.23,483.92,68.75
Chemical tanker,9.03,1086.3,3403.19,0,1048.15,1954.29,400.75,609.63,135.65,424.97,8.01
Passenger ship,13.4,13503.32,43291.65,29827.01,4249.75,3752.56,5462.32,5746.1,215.95,692.33,62.53
Ro-pax ship,2.32,6946.24,21319.59,8834.5,0,0,11687.27,1012.55,495.47,1520.71,14.02
Refrigerated cargo carrier,16.5,1578.7,4959.23,114.1,2716.8,1760.2,368,1803.6,57.28,179.93,27.56
Refrigerated cargo carrier,20.46,611.53,1908.93,28.65,684.65,1082.22,113.4,1402.68,37.69,117.65,16.23
Refrigerated cargo carrier,19.7,839.44,2634.47,722.85,684.26,949.57,277.8,1793,42.36,132.95,19.82
General cargo ship,14.49,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Ro-pax ship,26.4,19252.56,59978.1,59094.7,0,0,883.39,6589,157.39,490.33,122.32
General cargo ship,11.56,123.25,395.14,0,186.75,186.75,21.64,815.7,25.11,80.5,4.91
General cargo ship,15.34,442.66,1419.17,0,746.81,647.2,25.17,2924.17,36.04,115.56,12.28
General cargo ship,15.37,344.34,1103.95,129.75,457.4,462.27,54.53,1366.86,30.19,96.79,11.41
Ro-pax ship,64.9,2402.88,7624.93,7625,0,0,0,2460,58.41,185.34,41.14
General cargo ship,15.34,891.05,2856.71,97.56,1079.17,1417.57,262.41,3340.07,36.38,116.63,24.49
General cargo ship,15.28,304.17,975.17,0,279.72,588.52,106.92,1093.83,36.36,116.56,8.37
Bulk carrier,4.97,167,523.62,0,215.79,295.01,12.82,494.83,72.55,227.46,2.3
