Year,"Gross_Weight_Of
_Goods_Handled
(in thousand tonnes)","ShortSeaShipping_Weight
_of_Goods_transported
(in thousands tonnes)","DeepSeaShipping_Weight_
of_Goods_transported
(in thousand tonnes)","TotalShipping_Weight
_of_Goods_transported
(in thousands tonnes)","Marinetime_goods_transport_performed
(inExclusiveEconomicZoneofthecountry
(inMillionTonne-kilometer))",Total_Vessels,"Gross_tonnage_in_thousands_by_all types_of_
vessels
","Turnover(in thousand euros)
in Marinetime_transport_sector",
2010,3034880,1618837,946958,2565795,4448441,2134012,13739816,134200,
2011,3094060,1636150,1023042,2659192,4525844,2181926,14077937,136167,
2012,3154395,1614816,1034662,2649478,4604594,2096398,13905003,145742,
2013,3215906,1610880,1032035,2642915,4684714,2016989,13711175,141348,
2014,3287210,1638403,1053376,2691779,4746385,2068414,13679852,139612,
2015,3343755,1660535,1063441,2723976,4850032,1991274,14280662,150563,
2016,3376704,1702834,1040279,2743113,4842221,1989123,14911085,139315,
2017,3476076,1711477,1096029,2807506,5059154,2026259,15447891,155320,
2018,3584537,1771398,1137964,2909362,5207869,2189422,16173588,160310,
2019,3587258,1800469,1169011,2969480,5317875,2278469,16288379,163249,
2020,3325646,1682005,1067160,2749165,5036425,1944030,13250266,147421,
